"Job_Title","New_JobTitle","Job_Level"
"Internal Audit, Transaction Banking, Associate - Dallas","Internal Auditor","Audit Level"
"Senior Auditor, Technology Audit","Other Auditor level","Audit Level"
"Senior Auditor - Card Audit","Other Auditor level","Audit Level"
"Internal Audit, Merchant Banking, Associate - Dallas","Internal Auditor","Audit Level"
"Audit Manager, Commercial Bank Capital Markets","Audit Manager","Manager Level"
"Principal Associate, Compensation","Other Associate level","Associate Level"
"Operations – Treasury Services – Treasury Operations – Associate – Salt Lake City","Other Associate level","Associate Level"
"Principal Technology Auditor"," Technology Auditor","Audit Level"
"Compliance, Consumer Compliance, Credit Card - Business Development Program Management, Vice President","Unknown","Unknown"
"Principal Auditor, Card Audit","Other Auditor level","Audit Level"
"Technology Auditor, Principal Associate"," Technology Auditor","Audit Level"
"Principal Auditor, Commercial Bank Capital Markets","Other Auditor level","Audit Level"
"Senior Technology Auditor"," Technology Auditor","Audit Level"
"Principal Auditor, Commercial Audit","Other Auditor level","Audit Level"
"Business Analyst","Business Analyst","Analyst/Engineer Level"
"Business Analyst Associate - 2021","Business Analyst","Analyst/Engineer Level"
"Strategic Business Analyst I","Business Analyst","Analyst/Engineer Level"
"Senior Business Analyst - Charlotte, NC","Business Analyst","Analyst/Engineer Level"
"GIR, Equity Research, TMT, Business Analyst - San Francisco","Business Analyst","Analyst/Engineer Level"
"Business Analysis","Unknown","Unknown"
"Consultant Business Analyst- PC Lifecycle Process Team","Business Analyst","Analyst/Engineer Level"
"Investment Analyst","Investment Analyst","Analyst/Engineer Level"
"Senior Business Analyst","Business Analyst","Analyst/Engineer Level"
"Business Analyst for Banking Production Services","Business Analyst","Analyst/Engineer Level"
"Business Analyst / Treasury (Salesforce)","Business Analyst","Analyst/Engineer Level"
"Commercial Real Estate- Asset Management- Senior Associate","Other Associate level","Associate Level"
"CIB Business Enablement Analyst - Atlanta, GA","Business Analyst","Analyst/Engineer Level"
"GIR, Macro Research, Credit Strategy, Analyst - SLC","Strategy Analyst","Analyst/Engineer Level"
"Business Analyst - Accounting Systems","Business Analyst","Analyst/Engineer Level"
"Analyst - Relationship Management","Other Analysts","Analyst/Engineer Level"
"Agile CoE Analyst-Tools & Reporting","Reporting Analyst","Analyst/Engineer Level"
"Business Analyst - Reference Data","Data Analyst","Analyst/Engineer Level"
"Commercial Real Estate- Senior Credit Analyst","Credit Analyst","Analyst/Engineer Level"
"Sr. Data Technology Analyst (SQL Data Testing) - Charlotte","Data Analyst","Analyst/Engineer Level"
"Analytics & Reporting","Unknown","Unknown"
"Principal Associate, Workday Analyst","Other Analysts","Analyst/Engineer Level"
"Salesforce Business Analyst - Loan Origination","Business Analyst","Analyst/Engineer Level"
"Operations Project Consultant – MVSO (band 5)","Other Consultant level","Consultant Level"
"CIMD, PWM, Business Development Associate, Analyst - Irving, TX","Business Analyst","Analyst/Engineer Level"
"Strategic Business Analyst II","Business Analyst","Analyst/Engineer Level"
"2021 Wealth Analyst Program (Full-Time)","Wealth Analyst","Analyst/Engineer Level"
"Analyst","Other Analysts","Analyst/Engineer Level"
"Business Analyst - Fixed Income Systems","Business Analyst","Analyst/Engineer Level"
"GIR, Infrastructure Technology and Consumer Systems, Business Analyst/ Associate- San Francisco","Business Analyst","Analyst/Engineer Level"
"Business Analysis & Reporting Associate - Operations","Reporting Associate","Associate Level"
"Analyst I - Charlotte, NC","Other Analysts","Analyst/Engineer Level"
"Senior Mainframe Developer","Other Developer level","Developer/Architect Level"
"Business Operations Analyst II","Business Analyst","Analyst/Engineer Level"
"Business Analyst I - Document Collection","Business Analyst","Analyst/Engineer Level"
"Production Services Analyst","Services Analyst","Analyst/Engineer Level"
"Agile CoE Analyst","Other Analysts","Analyst/Engineer Level"
"GIR, Emerging Software, Analyst/Associate - NY or SF","Other Analysts","Analyst/Engineer Level"
"Agile CoE Analyst – Agile Tools & Reporting","Reporting Analyst","Analyst/Engineer Level"
"IT Service Stability and Performance Management Lead","Unknown","Unknown"
"Corporate - Data Management - Analyst","Data Analyst","Analyst/Engineer Level"
"Application Support Analyst","Other Analysts","Analyst/Engineer Level"
"GIR, Equity Research, Chemicals, Associate/BA- Houston","Other Associate level","Associate Level"
"Service & Credit Review Coordinator (Credit Analyst)","Credit Analyst","Analyst/Engineer Level"
"Premier Banker","Unknown","Unknown"
"CIMD, PWM - Wealth Advisor, Vice President - Houston, TX","Unknown","Unknown"
"CIMD, PWM, Wealth Advisor, VP – Irving, TX","Unknown","Unknown"
"Corporate - External Reporting Analyst - Analyst","Reporting Analyst","Analyst/Engineer Level"
