Job_Title,New_JobTitle,Job_Level
SAP Master Data Governance (MDG) Senior Managing Consultant,Data Consultant,Consultant Level
SAP S/4HANA Finance Senior Managing Consultant,Other Consultant level,Consultant Level
SAP FICO (COPA) Product Costing Lead Consultant,Other Consultant level,Consultant Level
SAP CR&B (FI-CA) Customer Relations & Billing Customer Accounting Lead,Unknown,Unknown
Data Analytics Senior Manager,Analytics Manager,Manager Level
Sr Analyst Audit Data Analytics,Data Analyst,Analyst/Engineer Level
Business Analysis - Governance Risk & Controls,Unknown,Unknown
Finance & Audit Manager - Finance Operations,Audit Manager,Manager Level
Quantitative Analyst - Audit Model Risk,Quantitative Analyst,Analyst/Engineer Level
Finance Operations S2P Support Analyst,Financial Analyst,Analyst/Engineer Level
"Internal Audit, Transaction Banking, Associate - New York",Internal Auditor,Audit Level
Sr. Manager Internal Audit,Internal Auditor,Audit Level
Manager Internal Audit - Forensics & Fraud,Internal Auditor,Audit Level
Principal Risk Specialist - Finance Risk Management,Unknown,Unknown
Risk and Controls Advisor,Other Advisor,Lead/Advisor Level
Senior Quality Consultant,Other Consultant level,Consultant Level
"Risk, Corporate Risk, Risk Regulation, Sr Associate / VP - New York",Other Associate level,Associate Level
Finance & Business Management Transformation - Vice President,Unknown,Unknown
"Internal Audit, Transaction Banking, Associate - Dallas",Internal Auditor,Audit Level
"Principal Associate, Compensation",Other Associate level,Associate Level
"Manager, Finance Operations Business Partnership - Post Audit",Audit Manager,Manager Level
Sr Auditor,Other Auditor level,Audit Level
"Audit Manager, Risk Management",Audit Manager,Manager Level
"Internal Audit, Consumer and Commercial Banking Technology, Associate - Dallas",Internal Auditor,Audit Level
Finance Manager - WW Devices FP&A,Finance Manager,Manager Level
"Internal Audit, Consumer and Commercial Banking Technology, Associate",Internal Auditor,Audit Level
Technology Audit Senior Manager,Audit Manager,Manager Level
Compliance Manager,Other Manager level,Manager Level
"Executive Office, Investor Relations, Analyst/Sr. Analyst - New York",Other Analysts,Analyst/Engineer Level
Audit Manager - Credit Risk Management,Audit Manager,Manager Level
Senior Program Manager,Program Manager,Manager Level
Audit Manager - Quality Assurance,Audit Manager,Manager Level
"Sr. Business Intelligence Engineer (BIE), Amazon Music",Business Intelligence Engineer,Analyst/Engineer Level
"Internal Audit, Consumer and Commercial Banking, Associate - Dallas",Internal Auditor,Audit Level
"Senior Auditor, Technology Audit",Other Auditor level,Audit Level
"Senior Program Manager, Employee Experience",Program Manager,Manager Level
"Principal Auditor, Commercial Audit",Other Auditor level,Audit Level
Sr Product Manager,Product Manager,Manager Level
"Executive Office, Investor Relations, Associate - Dallas",Other Associate level,Associate Level
"Principal Auditor, Consumer Compliance Audit",Other Auditor level,Audit Level
"Sr. Product Manager, Trade-In",Product Manager,Manager Level
"Internal Audit, Merchant Banking, Associate - Dallas",Internal Auditor,Audit Level
"Principal Auditor, Risk Management",Other Auditor level,Audit Level
"Sr. Manager, Digital Marketing, Prime Video International",Other Manager level,Manager Level
